Country Name,Food production [t],Food Imports [t],Food Exports [t],Population
Afghanistan,"23,004,652","4,638,900","498,260","36,296,400"
Albania,"6,730,912","929,449","156,003","2,873,457"
Algeria,"49,811,212","19,159,533","634,844","41,389,198"
Antigua and Barbuda,"28,354","81,668","1,625","95,426"
Argentina,"456,853,649","3,269,233","92,322,975","44,044,811"
Armenia,"5,373,537","880,536","236,462","2,944,809"
Australia,"241,186,899","5,484,722","45,380,284","24,601,860"
Austria,"25,644,705","10,062,861","9,378,328","8,797,566"
Azerbaijan,"18,354,714","2,556,243","620,287","9,854,033"
Bahamas,"265,275","332,757","5,043","381,761"
Bahrain,"70,758","809,600","33,992","1,494,074"
Bangladesh,"211,761,866","21,883,173","496,795","159,670,593"
Barbados,"173,062","261,646","57,920","286,233"
Belarus,"52,442,529","4,682,682","4,372,821","9,498,264"
Belgium,"29,379,921","43,937,246","33,124,964","11,375,158"
Belize,"2,862,449","112,218","321,022","375,769"
Benin,"28,103,071","6,917,919","398,281","11,175,204"
Bermuda,"10,806","72,233","1,441","63,874"
Bhutan,"1,142,049","39,209","15,716","745,568"
Bolivia (Plurinational State of),"30,169,611","1,043,739","1,830,035","11,192,854"
Bosnia and Herzegovina,"7,208,257","2,518,010","739,569","3,351,527"
Botswana,"458,942","1,051,091","63,390","2,205,128"
Brazil,"1,633,309,245","14,955,217","158,722,368","207,833,831"
Brunei Darussalam,"54,322","336,626","4,903","424,473"
Bulgaria,"39,811,699","3,022,657","9,194,655","7,075,947"
Burkina Faso,"22,201,010","1,509,025","930,233","19,193,284"
Burundi,"11,656,958","276,282","62,123","10,827,024"
C̫te d'Ivoire,"53,313,853","4,309,224","4,685,219","24,437,469"
Cabo Verde,"183,094","284,069",422,"537,497"
Cambodia,"49,917,193","2,025,577","1,978,540","16,009,414"
Cameroon,"58,082,450","2,712,885","824,569","24,566,045"
Canada,"288,951,222","19,717,542","69,312,456","36,540,268"
Central African Republic,"4,689,812","98,730","5,041","4,596,028"
Chile,"34,416,521","7,715,094","5,359,854","18,470,439"
China,"4,232,477,284","181,717,678","33,723,240","1,386,395,000"
Colombia,"108,098,479","12,442,945","4,675,744","48,901,066"
Comoros,"647,955","130,655","5,237","813,892"
Congo,"4,984,102","763,805","10,146","5,110,702"
Costa Rica,"21,750,041","2,804,617","6,652,758","4,949,954"
Croatia,"15,177,654","2,765,406","3,593,543","4,124,531"
Cuba,"35,798,431","3,416,330","1,269,121","11,339,259"
Cyprus,"908,159","1,265,369","269,570","1,179,680"
Czechia,"34,621,334","6,923,980","9,763,076","10,594,438"
Democratic Republic of the Congo,"95,474,433","1,162,341","92,981","81,398,764"
Denmark,"44,484,394","7,570,667","8,792,939","5,764,980"
Djibouti,"93,869","1,665,593","33,070","944,097"
Dominica,"246,542","28,570","2,865","71,458"
Ecuador,"41,000,560","3,100,747","7,835,873","16,785,361"
Egypt,"183,198,800","21,060,411","3,246,238","96,442,593"
El Salvador,"12,913,707","2,915,103","1,432,306","6,388,122"
Estonia,"5,330,001","979,618","1,715,643","1,317,384"
Eswatini,"6,488,921","515,311","785,536","1,124,753"
Ethiopia,"133,705,632","1,390,305","845,882","106,400,024"
Faroe Islands,"2,952","93,548","4,225","48,331"
Fiji,"1,938,203","330,392","497,242","877,459"
Finland,"15,329,446","3,183,533","1,404,701","5,508,214"
France,"348,659,251","36,076,831","60,815,760","66,865,144"
French Polynesia,"237,625","160,306","8,322","276,103"
Gabon,"2,580,785","506,904","32,861","2,064,823"
Gambia,"1,162,568","656,006","9,409","2,213,894"
Georgia,"2,627,122","1,438,705","527,465","3,728,004"
Germany,"237,158,377","70,024,679","60,085,360","82,657,002"
Ghana,"89,808,886","4,618,837","1,624,379","29,121,471"
Greece,"36,345,118","6,364,294","4,368,897","10,754,679"
Grenada,"145,431","58,703","10,687","110,874"
Guatemala,"56,417,191","3,673,644","8,179,913","16,914,936"
Guinea,"22,835,781","1,927,935","241,519","12,067,539"
Guyana,"4,550,138","226,166","756,207","775,221"
Honduras,"17,404,921","2,132,330","2,764,066","9,429,013"
Hungary,"64,951,636","4,799,558","15,625,518","9,787,966"
Iceland,"57,264","317,907","49,427","343,400"
India,"1,993,179,806","34,912,780","40,968,435","1,338,658,835"
Indonesia,"714,723,641","30,123,714","45,612,067","264,645,886"
Iran (Islamic Republic of),"161,223,322","19,087,187","6,080,041","80,673,951"
Ireland,"10,583,332","9,529,088","4,794,743","4,807,388"
Israel,"8,555,673","7,640,840","1,329,677","8,713,300"
Italy,"131,025,124","40,365,144","26,047,781","60,536,709"
Jamaica,"3,541,621","1,208,352","172,421","2,920,853"
Japan,"69,899,475","51,576,437","1,089,644","126,785,797"
Jordan,"5,069,548","5,315,678","952,720","9,779,173"
Kazakhstan,"92,387,514","7,540,527","10,090,944","18,037,776"
Kenya,"43,023,414","7,909,353","1,365,288","50,221,473"
Kiribati,"394,210","39,191","11,342","114,158"
Kuwait,"1,017,637","4,351,490","550,371","4,056,097"
Kyrgyzstan,"13,580,896","889,795","268,840","6,198,200"
Latvia,"10,781,847","2,643,119","4,188,954","1,942,248"
Lebanon,"5,136,480","3,390,242","714,055","6,811,873"
Libya,"4,849,280","4,363,579","46,084","6,580,724"
Lithuania,"20,962,413","3,242,209","6,850,573","2,828,403"
Luxembourg,"615,235","1,193,111","878,034","596,336"
Madagascar,"26,281,324","1,910,581","205,852","25,570,540"
Malawi,"53,729,144","379,106","463,152","17,670,260"
Malaysia,"166,901,707","20,801,152","24,410,416","31,105,028"
Maldives,"24,976","327,721",1,"496,402"
Mali,"45,951,981","1,662,084","455,745","18,512,394"
Malta,"244,318","470,198","52,884","467,999"
Mauritania,"1,270,743","1,789,914","3,109","4,282,574"
Mauritius,"3,949,456","878,585","505,807","1,264,613"
Mexico,"301,987,004","44,407,681","22,944,411","124,777,324"
Mongolia,"1,167,598","493,132","112,988","3,113,779"
Montenegro,"311,004","581,381","32,225","622,373"
Morocco,"65,919,655","11,212,835","2,812,883","35,581,294"
Namibia,"1,588,981","996,717","448,574","2,402,603"
Nepal,"52,887,438","3,808,067","208,371","27,627,124"
Netherlands,"39,534,399","69,486,164","53,755,302","17,131,296"
New Caledonia,"130,043","201,902","4,065","280,350"
New Zealand,"8,939,229","5,199,046","6,624,346","4,793,900"
Nicaragua,"13,944,337","1,231,847","1,565,772","6,384,855"
Niger,"37,931,643","766,143","204,839","21,602,472"
Nigeria,"414,332,383","9,317,800","1,025,661","190,873,311"
North Macedonia,"4,218,918","834,166","496,853","2,081,996"
Norway,"5,980,070","4,266,886","697,619","5,276,968"
Oman,"2,370,435","4,121,312","967,783","4,665,935"
Pakistan,"273,627,389","8,688,861","8,869,242","207,896,686"
Panama,"5,837,840","2,112,423","525,628","4,106,771"
Papua New Guinea,"16,896,450","938,049","954,602","8,438,029"
Paraguay,"63,734,101","775,443","13,143,340","6,867,062"
Peru,"60,973,645","10,053,857","2,852,519","31,444,297"
Philippines,"196,704,188","17,357,008","7,086,077","105,173,264"
Poland,"175,477,181","15,721,777","21,529,949","37,974,826"
Portugal,"16,983,292","11,895,408","4,308,553","10,300,300"
Qatar,"143,240","2,341,223","18,156","2,724,724"
Republic of Korea,"43,347,242","34,187,711","2,761,552","51,466,201"
Republic of Moldova,"18,557,332","577,639","2,689,898","3,549,196"
Romania,"128,088,411","8,562,239","16,837,654","19,587,491"
Russian Federation,"612,245,334","20,779,569","58,474,060","144,496,740"
Rwanda,"14,971,929","481,819","58,986","11,980,937"
Sao Tome and Principe,"176,759","58,193","4,378","207,089"
Saudi Arabia,"11,905,786","28,408,751","1,179,623","33,099,147"
Senegal,"12,440,546","4,510,663","531,441","15,419,381"
Serbia,"35,981,498","1,331,436","5,194,066","7,020,858"
Seychelles,"18,251","94,497",855,"95,843"
Sierra Leone,"5,425,930","1,000,058","43,433","7,488,431"
Singapore,"51,048","6,854,795","2,060,770","5,612,253"
Slovakia,"15,665,612","3,786,124","4,817,330","5,439,232"
Slovenia,"2,856,369","4,133,231","4,188,762","2,066,388"
Solomon Islands,"1,664,363","138,588","72,470","636,038"
South Africa,"123,127,957","9,920,671","10,822,289","57,000,451"
Spain,"155,290,685","40,510,467","32,264,349","46,593,236"
Sri Lanka,"19,621,726","5,156,674","1,131,553","21,444,000"
Suriname,"1,251,576","205,407","149,766","570,496"
Sweden,"26,055,300","6,232,329","3,852,519","10,057,698"
Switzerland,"7,737,700","5,873,378","2,931,926","8,451,840"
Syrian Arab Republic,"21,065,177","2,568,995","294,719","17,068,002"
Thailand,"331,168,726","15,707,269","54,849,882","69,209,858"
Togo,"10,507,543","992,054","334,489","7,698,475"
Tonga,"414,198","27,043","8,884","101,998"
Trinidad and Tobago,"260,123","775,544","174,349","1,384,072"
Tunisia,"18,771,829","5,875,350","996,254","11,433,443"
Turkey,"274,096,330","23,882,062","16,410,231","81,101,892"
Tuvalu,"6,571","6,864",4,"11,370"
Uganda,"41,903,382","1,969,493","2,172,972","41,162,465"
Ukraine,"339,555,923","2,358,506","63,302,849","44,831,135"
United Arab Emirates,"1,399,577","17,406,576","4,614,298","9,487,203"
United Kingdom,"112,085,963","39,101,937","12,694,121","66,058,859"
United Republic of Tanzania,"90,766,883","1,683,443","1,205,923","54,663,906"
United States of America,"2,331,246,407","77,731,583","221,336,089","325,147,121"
Uruguay,"14,792,008","1,178,007","7,009,761","3,436,646"
Vanuatu,"1,140,078","66,894","29,458","285,510"
Venezuela (Bolivarian Republic of),"20,528,335","4,799,623","74,157","29,390,409"
Yemen,"5,243,610","6,611,328","177,983","27,834,821"
Zambia,"24,980,403","420,161","1,127,543","16,853,688"
Zimbabwe,"9,517,521","1,270,138","395,824","14,236,745"
